Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
MoviePass,https://www.crunchbase.com/organization/moviepass,"Apps, Media and Entertainment, Subscription Service","New York, New York, United States",MoviePass employs location-based technologies to allow individuals to watch movies at local theaters for a fixed monthly price.,60,https://www.moviepass.com/,https://www.linkedin.com/company/2317905/,info@moviepass.com,877-646-2892,"Hamet Watt, Stacy Spikes",10-Jan,2,M&A,9/26/14,"$2,200,000 ",Series A,"$3,700,000 "
LOLA,https://www.crunchbase.com/organization/lola,"Consumer, Shopping, Women's","New York, New York, United States","LOLA is a subscription service that delivers tampons, pads, and feminine cleansing wipes, and other products.",108,https://www.mylola.com/#!/,https://www.linkedin.com/company/lola-www-mylola-com-,"help@mylola.com, press@mylola.com",+1 866-232-0970,"Alexandra Friedman, Jordana Kier",10-Jan,4,Early Stage Venture,6/12/18,"$24,000,000 ",Series B,"$35,200,000 "
Oden Technologies,https://www.crunchbase.com/organization/oden-technologies,"Hardware, Information Technology, Manufacturing, Software","New York, New York, United States",Oden Technologies is a hardware and software solutions company for creating smart factories.,157,https://oden.io,https://www.linkedin.com/company-beta/5338202/,hello@oden.io,+1 (800) 230-9063,"Peter Brand, Willem Sundblad",Nov-50,2,Early Stage Venture,7/2/18,"$10,000,000 ",Series A,"$15,900,000 "
Hinge,https://www.crunchbase.com/organization/hinge,"Android, Dating, Internet, Mobile, Social Media","New York, New York, United States",Hinge is a social discovery network helping users meet new people through application.,242,http://hinge.co,https://www.linkedin.com/company/hinge-app/,hello@hinge.co,,Justin McLeod,Nov-50,4,M&A,12/11/14,"$12,000,000 ",Series A,"$20,600,000 "
Cedar,https://www.crunchbase.com/organization/cedar-0db2,"Health Care, Information Technology","New York, New York, United States","Cedar provides a smarter way for hospitals, health systems and medical groups to manage the patient payment ecosystem. ",343,http://www.cedar.com,https://www.linkedin.com/company/10988174/,contact@cedar.com,917-470-9995,"Arel Lidow, Florian Otto",Nov-50,2,Early Stage Venture,6/25/18,"$36,000,000 ",Series B,"$49,000,000 "
RapidSOS,https://www.crunchbase.com/organization/rapidsos,"GovTech, Internet of Things, mHealth, Mobile, Mobile Apps, Public Safety","New York, New York, United States",RapidSOS is an advanced emergency technology company.,412,https://rapidsos.com/,https://www.linkedin.com/company/rapidsos,info@rapidsos.com,,"Michael Martin, Nick Horelik",Nov-50,6,Early Stage Venture,4/19/18,"$16,000,000 ",Series B,"$35,560,000 "
BLADE,https://www.crunchbase.com/organization/fly-blade,"Aerospace, Crowdsourcing, Travel","New York, New York, United States",BLADE is an application that provides short-distance flight management solutions to its clients.,415,http://www.flyblade.com/,http://www.linkedin.com/company/fly-blade,info@flyblade.com,844-359-2523,"Rob Wiesenthal, Steve Martocci",Nov-50,3,Early Stage Venture,3/22/18,"$38,000,000 ",Series B,"$44,000,000 "
Talkspace,https://www.crunchbase.com/organization/talkspace,"Consulting, Health Care, Therapeutics","New York, New York, United States",Affordable & confidential therapy with professional and licensed therapists.,544,https://talkspace.com,https://www.linkedin.com/company/talkspace-online-therapy,team@talkspace.com,(516)847-5432,"Oren Frank, Roni Frank",Nov-50,6,Late Stage Venture,9/6/17,"$31,000,000 ",Series C,"$59,000,000 "
"Fabric Technologies, Inc.",https://www.crunchbase.com/organization/fabric-insurance-agency,"Financial Services, Insurance, Life Insurance","Brooklyn, New York, United States",We believe every family deserves a secure financial future. That‰Ûªs why we‰Ûªre building Fabric ‰ÛÒ a smarter way for new parents to get insured.,577,https://www.meetfabric.com/,https://www.linkedin.com/company-beta/11019916/,,44 20 7841 6700,"Adam Erlebacher, Steven Surgnier",10-Jan,4,Early Stage Venture,6/19/18,"$10,000,000 ",Series A,"$12,500,000 "
The Skimm,https://www.crunchbase.com/organization/the-skimm,"Fashion, Information Services, Mobile Apps, News, Politics, Publishing","New York, New York, United States","The Skimm offers an email newsletter that is focused on women, and provides editorial contents and headlines.",606,http://www.theskimm.com,https://www.linkedin.com/company/theskimm,founders@theskimm.com,(212)643-0099,"Carly Zakin, Danielle Weisberg",10-Jan,7,Late Stage Venture,3/16/18,"$12,000,000 ",Series C,"$28,389,577 "
Honest Buildings,https://www.crunchbase.com/organization/honest-buildings,"Commercial Real Estate, Construction, Real Estate","New York, New York, United States","Data-driven project management and procurement platform for real estate owners. Centralize data, automate bidding and standardize reporting.",612,http://www.honestbuildings.com,http://www.linkedin.com/company/honest-buildings,info@honestbuildings.com,(877)733-0474,"Garrett Kubiak, James Roberts, Riggs Kubiak",Nov-50,10,Early Stage Venture,6/1/18,"$5,000,000 ",Series B,"$47,750,000 "
Nanit,https://www.crunchbase.com/organization/nanit,"Baby, Child Care, Industrial, Information Technology, Internet of Things, Machine Learning","New York, New York, United States",Nanit is a smarter baby monitor for the IOT era,713,https://www.nanit.com/,,help@nanit.com,18666962648,"Andrew Berman, Assaf Glazer, Tor Ivry",Nov-50,3,Early Stage Venture,5/21/18,"$14,000,000 ",Series B,"$28,000,000 "
Emogi,https://www.crunchbase.com/organization/emogi,"Advertising, Analytics, Big Data, Information Technology","New York, New York, United States",To enrich conversations everywhere with useful content in the place where people share the most -- messaging.,770,http://www.emogi.com/,http://www.linkedin.com/company/2521585,support@emogi.com,,Travis Montaque,Nov-50,3,Early Stage Venture,5/30/18,"$12,600,000 ",Series A,"$18,800,000 "
Thrive Global,https://www.crunchbase.com/organization/thrive-global,"Apps, Corporate Training, E-Commerce, Fitness, Health Care, Media and Entertainment, Personal Health, Productivity Tools, Wellness","New York, New York, United States",Thrive Global is a corporate and consumer well-å_being and productivity platform that offers science-based solutions to improve performance.,834,https://www.thriveglobal.com/,https://www.linkedin.com/company/thrive-global,,,Arianna Huffington,Nov-50,3,Early Stage Venture,3/10/18,"$13,000,000 ",Series B,"$50,000,000 "
OWKIN,https://www.crunchbase.com/organization/owkin-2,"Artificial Intelligence, Biotechnology, Software","New York, New York, United States",Machine learning for medical research.,928,http://www.owkin.com,https://www.linkedin.com/company/owkin,contact@owkin.com,,"Gilles Wainrib, Thomas Clozel",Nov-50,3,Early Stage Venture,5/23/18,"$5,000,000 ",Series A,"$18,100,000 "
"TargetSpot, Inc.",https://www.crunchbase.com/organization/targetspot,"Ad Network, Advertising, Digital Media, Music","New York, New York, United States","TargetSpot is an internet radio advertising network that uses premium inventory, precision targeting, and various advertising formats.",984,http://www.targetspot.com,https://www.linkedin.com/company-beta/440648/?pathWildcard=440648,info@targetspot.com,212.631.0500,Adi Sideman,Nov-50,3,Late Stage Venture,1/11/11,"$8,000,000 ",Series C,"$20,190,000 "
Ellevest,https://www.crunchbase.com/organization/ellevest,"Financial Services, Impact Investing, Women's","New York, New York, United States",Ellevest offers digital investment advice for women.,"1,030",https://www.ellevest.com,https://www.linkedin.com/company/10208395,press@ellevest.com,+1 (844) 355-7100,"Charlie Kroll, Sallie Krawcheck",Nov-50,2,Early Stage Venture,9/18/17,"$34,600,000 ",Series A,"$44,600,000 "
Universe,https://www.crunchbase.com/organization/universe-2,"Mobile, Mobile Apps, Software, Web Development","Brooklyn, New York, United States",Universe is a mobile app that enables users to create websites using their mobile phones.,"1,032",http://onuniverse.com/,https://www.linkedin.com/company-beta/5365187/,,,Joseph Cohen,10-Jan,4,Early Stage Venture,6/20/18,"$4,000,000 ",Series A,"$7,320,000 "
Exosome Diagnostics,https://www.crunchbase.com/organization/exosome-diagnostics,"Biotechnology, Genetics, Health Care, Health Diagnostics","New York, New York, United States",Exosome Diagnostics develops and commercializes blood-based cancer molecular diagnostics for patient stratification and disease monitoring.,"1,085",http://www.exosomedx.com,http://www.linkedin.com/company/exosome-diagnostics,info@exosomedx.com,1(617) 588-0500,"James R. McCullough, Shelly Hirshon",Nov-50,6,M&A,7/24/17,"$30,000,000 ",Series C,"$112,083,973 "
LoftSmart,https://www.crunchbase.com/organization/loftsmart,"Leasing, Real Estate, Rental, Search Engine","New York, New York, United States",LoftSmart is the leading search and booking platform for student rentals. ,"1,093",https://loftsmart.com/,https://www.linkedin.com/company/loftsmart,info@loftsmart.com,646-493-8937,"Samuel Bernstein, Sundeep Kumar",Nov-50,4,Early Stage Venture,6/18/18,"$12,900,000 ",Series A,"$17,649,993 "
Eight,https://www.crunchbase.com/organization/morphy,"Consumer Electronics, Health Care, Innovation Management","New York, New York, United States",Eight is a technology company that develops a smart bed cover for a better night's sleep.,"1,106",http://eightsleep.com,https://www.linkedin.com/company/eight--,,888-848-9085,"Alexandra Zatarain, Andrea Ballarini, Massimo Andreasi Bassi, Matteo Franceschetti",Nov-50,5,Early Stage Venture,3/8/18,"$14,000,000 ",Series B,"$30,066,621 "
IMGN Media,https://www.crunchbase.com/organization/comedy-com,"Content, Content Marketing, Internet, Social Media Advertising, Video","New York, New York, United States",IMGN Media is a leading creator of social-first media brands ,"1,217",http://www.imgn.media,https://www.linkedin.com/company/5298343,,,"Barak Shragai, Dor Mizrahi, Liat Abadi",Nov-50,3,Early Stage Venture,6/26/18,"$3,000,000 ",Series A,"$6,000,000 "
Knock,https://www.crunchbase.com/organization/knockaway,"Marketplace, Property Management, Real Estate","New York, New York, United States",Knock makes buying or selling a home simple and certain. ,"1,232",https://www.knock.com,https://www.linkedin.com/company/knock.com,info@knock.com,470-485-6625,"Jamie Glenn, Karan Sakhuja, Sean Black",Nov-50,3,Early Stage Venture,1/31/17,"$32,500,000 ",Series A,"$34,500,000 "
Helbiz,https://www.crunchbase.com/organization/helbiz-inc,"Car Sharing, Cryptocurrency, Mobile Payments, Peer to Peer","New York, New York, United States","Helbiz is a payment and transportation ecosystem, consisting of Helbiz & HelbizPay. ","1,266",http://www.helbiz.com,https://www.linkedin.com/company/helbiz,ask@helbiz.com,,Salvatore Palella,Nov-50,4,Early Stage Venture,8/1/18,,Series A,"$40,996,754 "
Current,https://www.crunchbase.com/organization/current-6,"Finance, Financial Services, FinTech","New York, New York, United States",Current is debit card and app for teeangers.,"1,403",https://current.com,https://www.linkedin.com/company-beta/10270508/,hello@current.com,,Stuart Sopp,Nov-50,3,Early Stage Venture,2/27/18,"$1,000,000 ",Series A,"$9,600,000 "
Cadre,https://www.crunchbase.com/organization/cadre-2,"Financial Services, FinTech, Marketplace, Real Estate","New York, New York, United States",Cadre is an online marketplace that connects investors and operators of real estate.,"1,437",http://cadre.com,https://www.linkedin.com/company/3338049,press@cadre.com,,Ryan Williams,Nov-50,3,Late Stage Venture,6/6/17,"$65,000,000 ",Series C,"$133,300,000 "
Gimlet Media,https://www.crunchbase.com/organization/gimlet-media,"Audio, Digital Media, Media and Entertainment, News, Podcast, Social Media, Video","New York, New York, United States",A series about what happens when someone who knows nothing about business starts one. .,"1,450",http://gimletmedia.com/,https://www.linkedin.com/company/gimlet-media,hearstartup@gmail.com,,"Alex Blumberg, Matthew Lieber",Nov-50,6,Early Stage Venture,9/6/17,"$5,000,000 ",Series B,"$28,450,000 "
Indegy,https://www.crunchbase.com/organization/indegy,"Cyber Security, Industrial, Infrastructure","New York, New York, United States",Indegy provides visibility and security for industrial control networks to ensure operational continuity and reliability,"1,479",http://www.indegy.com/,https://www.linkedin.com/company/indegy,info@indegy.com,(866) 801 5394,"Barak Perelman, Ido Trivizki, Mille Gandelsman",Nov-50,3,Early Stage Venture,6/1/18,,Series B,"$18,000,000 "
Citizen,https://www.crunchbase.com/organization/citizen-d7ce,"Apps, Internet, Public Safety","New York, New York, United States","The Citizen app empowers people with information to help keep their families, communities, and cities safe. ","1,669",http://www.citizen.com,https://www.linkedin.com/company/11108263/,info@citizen.com,,"Andrew Frame, JD Maresco, Luis Samaniego",Nov-50,2,Early Stage Venture,9/19/17,"$12,000,000 ",Series A,"$13,000,000 "
VidMob,https://www.crunchbase.com/organization/vidmob,"Advertising Platforms, Marketplace, Social Media Advertising, Video","New York, New York, United States", The world's leading video creation network and platform.,"1,670",http://vidmob.com/,https://www.linkedin.com/company/vidmob,support@vidmob.com,347-960-6554,"Alex Collmer, Craig Coblenz, Jason Donnell",Nov-50,3,Early Stage Venture,5/12/18,"$6,400,000 ",Series A,"$19,900,000 "
Candid,https://www.crunchbase.com/organization/candid-4,"Beauty, Dental, Personal Health","New York, New York, United States",Candid helps people get the smile they've always wanted at a price they can afford.,"1,779",https://www.candidco.com/,https://www.linkedin.com/company/11212406/,support@candidco.com,1.18E+11,"Bobby Ghoshal, Nick Greenfield",10-Jan,2,Early Stage Venture,11/21/17,"$15,000,000 ",Series A,"$15,000,000 "
